filename,count,bit
out-0.0000005-0.2--015.0,25165754,1
out-0.0000005-0.2--015.1,30,0
out-0.0000005-0.2--015.1,25165754,1
out-0.0000005-0.2--015.2,30,0
out-0.0000005-0.2--015.2,25165754,1
out-0.0000005-0.2--015.3,30,0
out-0.0000005-0.2--015.3,25165754,1
out-0.0000005-0.2--015.4,30,0
out-0.0000005-0.2--015.4,25165754,1
out-0.0000005-0.2--015.5,30,0
out-0.0000005-0.2--015.5,25165754,1
out-0.0000005-0.2--015.6,30,0
out-0.0000005-0.2--015.6,25165754,1
out-0.0000005-0.2--015.7,30,0
out-0.0000005-0.2--015.7,25165754,1
out-0.0000005-0.2--015.8,30,0
out-0.0000005-0.2--015.8,25165754,1
out-0.0000005-0.2--015.9,30,0
out-0.0000005-0.2--015.9,25165754,1
out-0.0000005-0.2--016.0,30,0
out-0.0000005-0.2--016.0,25165754,1
out-0.0000005-0.2--016.1,30,0
out-0.0000005-0.2--016.1,25165754,1
out-0.0000005-0.2--016.2,30,0
out-0.0000005-0.2--016.2,25165754,1
out-0.0000005-0.2--016.3,30,0
out-0.0000005-0.2--016.3,25165754,1
out-0.0000005-0.2--016.4,30,0
out-0.0000005-0.2--016.4,25165754,1
out-0.0000005-0.2--016.5,30,0
out-0.0000005-0.2--016.5,25165754,1
out-0.0000005-0.2--016.6,27,0
out-0.0000005-0.2--016.6,25165757,1
out-0.0000005-0.2--016.7,27,0
out-0.0000005-0.2--016.7,25165757,1
out-0.0000005-0.2--016.8,27,0
out-0.0000005-0.2--016.8,25165757,1
out-0.0000005-0.2--016.9,27,0
out-0.0000005-0.2--016.9,25165757,1
out-0.0000005-0.2--017.0,27,0
out-0.0000005-0.2--017.0,25165757,1
out-0.0000005-0.2--017.1,27,0
out-0.0000005-0.2--017.1,25165757,1
out-0.0000005-0.2--017.2,27,0
out-0.0000005-0.2--017.2,25165757,1
out-0.0000005-0.2--017.3,27,0
out-0.0000005-0.2--017.3,25165757,1
out-0.0000005-0.2--017.4,27,0
out-0.0000005-0.2--017.4,25165757,1
out-0.0000005-0.2--017.5,27,0
out-0.0000005-0.2--017.5,25165757,1
out-0.0000005-0.2--017.6,27,0
out-0.0000005-0.2--017.6,25165757,1
out-0.0000005-0.2--017.7,27,0
out-0.0000005-0.2--017.7,25165757,1
out-0.0000005-0.2--017.8,27,0
out-0.0000005-0.2--017.8,25165757,1
out-0.0000005-0.2--017.9,27,0
out-0.0000005-0.2--017.9,25165757,1
out-0.0000005-0.2--018.0,27,0
out-0.0000005-0.2--018.0,25165757,1
out-0.0000005-0.2--018.1,27,0
out-0.0000005-0.2--018.1,25165757,1
out-0.0000005-0.2--018.2,27,0
out-0.0000005-0.2--018.2,25165757,1
out-0.0000005-0.2--018.3,27,0
out-0.0000005-0.2--018.3,25165757,1
out-0.0000005-0.2--018.4,27,0
out-0.0000005-0.2--018.4,25165757,1
out-0.0000005-0.2--018.5,27,0
out-0.0000005-0.2--018.5,25165757,1
out-0.0000005-0.2--018.6,27,0
out-0.0000005-0.2--018.6,25165757,1
