filename,count,bit
out-019.5,37,0
out-019.5,25165747,1
out-019.6,37,0
out-019.6,25165747,1
out-019.7,37,0
out-019.7,25165747,1
out-019.8,37,0
out-019.8,25165747,1
out-019.9,37,0
out-019.9,25165747,1
out-020.0,37,0
out-020.0,25165747,1
out-020.1,37,0
out-020.1,25165747,1
out-020.2,37,0
out-020.2,25165747,1
out-020.3,37,0
out-020.3,25165747,1
out-020.4,37,0
out-020.4,25165747,1
out-020.5,37,0
out-020.5,25165747,1
out-020.6,37,0
out-020.6,25165747,1
out-020.7,37,0
out-020.7,25165747,1
out-020.8,37,0
out-020.8,25165747,1
out-020.9,37,0
out-020.9,25165747,1
out-021.0,37,0
out-021.0,25165747,1
out-021.1,37,0
out-021.1,25165747,1
out-021.2,37,0
out-021.2,25165747,1
out-021.3,37,0
out-021.3,25165747,1
out-021.4,37,0
out-021.4,25165747,1
out-021.5,37,0
out-021.5,25165747,1
out-021.6,37,0
out-021.6,25165747,1
out-021.7,37,0
out-021.7,25165747,1
out-021.8,37,0
out-021.8,25165747,1
out-021.9,37,0
out-021.9,25165747,1
out-022.0,37,0
out-022.0,25165747,1
out-022.1,37,0
out-022.1,25165747,1
out-022.2,37,0
out-022.2,25165747,1
out-022.3,37,0
out-022.3,25165747,1
out-022.4,37,0
out-022.4,25165747,1
out-022.5,37,0
out-022.5,25165747,1
out-022.6,37,0
out-022.6,25165747,1
out-022.7,39,0
out-022.7,25165745,1
out-022.8,39,0
out-022.8,25165745,1
out-022.9,39,0
out-022.9,25165745,1
out-023.0,39,0
out-023.0,25165745,1
out-023.1,39,0
out-023.1,25165745,1
out-023.2,37,0
out-023.2,25165747,1
out-023.4,37,0
out-023.4,25165747,1
out-023.3,37,0
out-023.3,25165747,1
out-023.5,37,0
out-023.5,25165747,1
out-023.6,37,0
out-023.6,25165747,1
out-023.7,37,0
out-023.7,25165747,1
out-023.8,37,0
out-023.8,25165747,1
out-023.9,39,0
out-023.9,25165745,1
out-024.0,39,0
out-024.0,25165745,1
out-024.1,39,0
out-024.1,25165745,1
out-024.2,39,0
out-024.2,25165745,1
out-024.3,39,0
out-024.3,25165745,1
out-024.4,39,0
out-024.4,25165745,1
out-024.5,39,0
out-024.5,25165745,1
out-024.6,39,0
out-024.6,25165745,1
out-024.7,39,0
out-024.7,25165745,1
out-024.8,39,0
out-024.8,25165745,1
out-024.9,39,0
out-024.9,25165745,1
out-025.0,39,0
out-025.0,25165745,1
out-025.1,39,0
out-025.1,25165745,1
out-025.2,39,0
out-025.2,25165745,1
out-025.3,39,0
out-025.3,25165745,1
out-025.4,39,0
out-025.4,25165745,1
out-025.5,39,0
out-025.5,25165745,1
out-025.6,30,0
out-025.6,25165754,1
out-025.7,30,0
out-025.7,25165754,1
out-025.8,30,0
out-025.8,25165754,1
out-025.9,30,0
out-025.9,25165754,1
out-026.0,30,0
out-026.0,25165754,1
out-026.1,30,0
out-026.1,25165754,1
out-026.2,30,0
out-026.2,25165754,1
out-026.3,30,0
out-026.3,25165754,1
out-026.4,30,0
out-026.4,25165754,1
out-026.5,30,0
out-026.5,25165754,1
out-026.6,30,0
out-026.6,25165754,1
out-026.7,33,0
out-026.7,25165751,1
out-026.8,29,0
out-026.8,25165755,1
out-026.9,29,0
out-026.9,25165755,1
out-027.0,29,0
out-027.0,25165755,1
out-027.1,32,0
out-027.1,25165752,1
out-027.2,32,0
out-027.2,25165752,1
out-027.3,32,0
out-027.3,25165752,1
out-027.4,32,0
out-027.4,25165752,1
out-027.5,29,0
out-027.5,25165755,1
out-027.6,29,0
out-027.6,25165755,1
out-027.7,29,0
out-027.7,25165755,1
out-027.8,32,0
out-027.8,25165752,1
out-027.9,32,0
out-027.9,25165752,1
out-028.0,32,0
out-028.0,25165752,1
out-028.1,29,0
out-028.1,25165755,1
out-028.2,29,0
out-028.2,25165755,1
out-028.3,32,0
out-028.3,25165752,1
out-028.4,32,0
out-028.4,25165752,1
out-028.5,32,0
out-028.5,25165752,1
out-028.6,32,0
out-028.6,25165752,1
out-028.7,32,0
out-028.7,25165752,1
out-028.8,32,0
out-028.8,25165752,1
out-028.9,32,0
out-028.9,25165752,1
out-029.0,32,0
out-029.0,25165752,1
out-029.1,32,0
out-029.1,25165752,1
out-029.2,32,0
out-029.2,25165752,1
out-029.3,32,0
out-029.3,25165752,1
out-029.4,32,0
out-029.4,25165752,1
out-029.5,28,0
out-029.5,25165756,1
out-029.6,28,0
out-029.6,25165756,1
out-029.7,28,0
out-029.7,25165756,1
out-029.8,28,0
out-029.8,25165756,1
out-029.9,28,0
out-029.9,25165756,1
out-030.0,28,0
out-030.0,25165756,1
out-030.1,28,0
out-030.1,25165756,1
out-030.2,28,0
out-030.2,25165756,1
out-030.3,28,0
out-030.3,25165756,1
out-030.4,28,0
out-030.4,25165756,1
out-030.5,28,0
out-030.5,25165756,1
out-030.6,28,0
out-030.6,25165756,1
out-030.7,28,0
out-030.7,25165756,1
out-030.8,28,0
out-030.8,25165756,1
out-030.9,30,0
out-030.9,25165754,1
out-031.0,28,0
out-031.0,25165756,1
out-031.1,28,0
out-031.1,25165756,1
out-031.2,28,0
out-031.2,25165756,1
out-031.3,28,0
out-031.3,25165756,1
out-031.4,28,0
out-031.4,25165756,1
out-031.5,28,0
out-031.5,25165756,1
out-031.6,32,0
out-031.6,25165752,1
out-031.7,28,0
out-031.7,25165756,1
out-031.8,34,0
out-031.8,25165750,1
out-031.9,30,0
out-031.9,25165754,1
out-032.0,30,0
out-032.0,25165754,1
out-032.1,30,0
out-032.1,25165754,1
out-032.2,30,0
out-032.2,25165754,1
out-032.3,30,0
out-032.3,25165754,1
out-032.4,30,0
out-032.4,25165754,1
out-032.5,30,0
out-032.5,25165754,1
out-032.6,30,0
out-032.6,25165754,1
out-032.7,30,0
out-032.7,25165754,1
out-032.8,30,0
out-032.8,25165754,1
out-032.9,30,0
out-032.9,25165754,1
out-033.0,30,0
out-033.0,25165754,1
out-033.1,30,0
out-033.1,25165754,1
out-033.2,30,0
out-033.2,25165754,1
out-033.3,30,0
out-033.3,25165754,1
out-033.4,30,0
out-033.4,25165754,1
out-033.5,30,0
out-033.5,25165754,1
out-033.6,30,0
out-033.6,25165754,1
out-033.7,30,0
out-033.7,25165754,1
out-033.8,30,0
out-033.8,25165754,1
out-033.9,33,0
out-033.9,25165751,1
out-034.0,30,0
out-034.0,25165754,1
out-034.1,30,0
out-034.1,25165754,1
out-034.2,30,0
out-034.2,25165754,1
out-034.3,30,0
out-034.3,25165754,1
out-034.4,30,0
out-034.4,25165754,1
out-034.5,30,0
out-034.5,25165754,1
out-034.6,30,0
